,city,latitude,longitude,attacktype,targtype,targsubtype,target,weaptype,weapsubtype,gname,Month,Day,Year
0,Samastipur,25.863042,85.781004,2036,876,296,Lalit Narayan Mishra and a legislator,2121,674,1,1,2,1975
1,Unknown,33.778175,76.576171,2036,368,29,A bus station in Kashmir,2121,75,4,3,29,1997
2,Dhalai district,23.846698,91.909924,2036,313,86,Border Patrol Guards,2121,265,62,11,7,1997
3,Hyderabad,17.376812,78.487812,2036,1538,19,"People leaving a party.  Wounded included Mohan Babu, a popular local movie star",2121,75,1414,11,19,1997
4,New Delhi,28.632381,77.220004,2036,1538,447,Civilians in New Delhi,2121,61,1414,1,9,1998
5,Wandhama,33.778175,76.576171,1514,1538,48,Hindu Civilians in Wandhama village,243,181,1414,1,25,1998
6,Nalbari district,26.444619,91.441053,1514,786,164,Bargela Police outpost,1813,180,238,2,4,1998
7,Coimbatore,11.016845,76.955832,2036,786,433,Indian Police in Coimbatore,2121,674,1414,2,14,1998
8,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
9,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
10,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
11,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
12,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
13,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
14,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
15,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
16,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
17,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
18,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
19,Coimbatore,11.016845,76.955832,2036,1538,66,Indian Civilians and property in Coimbatore,2121,75,12,2,14,1998
20,Mumbai,19.075984,72.877656,2036,368,205,A railway station in Mumbai,2121,61,1414,2,27,1998
21,Mumbai,19.075984,72.877656,2036,368,205,A railway station in Mumbai,2121,61,1414,2,27,1998
22,Virar,19.45067,72.812571,2036,368,205,A railway station in Virar,2121,11,1414,2,27,1998
23,Thub,33.200294,74.730781,1514,1538,447,"Residents of Thub Village, Pakistan",1813,180,1414,4,18,1998
24,Udhampur district,32.925224,75.135264,1514,1538,447,"Residents of Barankot, India",1813,180,1414,4,22,1998
25,Surankot,33.639869,74.263416,1514,1538,66,Indian civilians of the Punch District,1813,1564,1414,5,5,1998
26,Doda district,33.14575,75.548049,1514,1538,66,Indian civilians of the Doda District,1813,1564,1414,5,5,1998
27,Chapnali,33.778175,76.576171,1514,1538,19,Hindu Wedding Party,1813,180,1414,6,19,1998
28,Kokrajhar District,26.398022,90.269415,1514,786,433,Indian Policemen in Kokrajhar District,1813,180,1414,7,17,1998
29,Chanapora,34.033703,74.808308,1514,1538,447,Citizens of Channa,1813,1564,1414,7,28,1998
30,Swaram,33.778175,76.576171,1514,1538,447,Citizens of Swaran,1813,1564,1414,7,28,1998
31,Dhamdhama,26.556685,91.479862,2036,1538,78,Civilians at the Dhamdhama weekly market,2121,80,8,7,29,1998
32,Mainaopuri,26.200604,92.937574,2036,1538,447,Bodo Villagers,2121,674,1414,7,29,1998
33,Kokrajhar,26.398022,90.269415,1514,1538,447,Bodo Villagers,243,25,1414,7,29,1998
34,Amarpur,23.519468,91.654209,1514,1538,447,"Civilians in Amarpur, India",1813,1564,62,8,2,1998
35,Kalaban,32.501944,76.021667,1514,417,142,Housing road construction laborers in Kalabanh,1813,180,1414,8,3,1998
36,Satrandi,31.104829,77.17339,1514,1538,447,"Civilians in Satrandi, India",1813,1564,1414,8,3,1998
37,Siala,33.778175,76.576171,1514,1538,189,"Relatives of Imtiaz, a militant of the Tehrik-e-Jihad group",1813,1564,88,8,3,1998
38,Srinagar,34.083658,74.797368,2036,786,433,"Kashmir Police in Srinagar, India",2121,533,1414,8,4,1998
39,Udhampur district,32.925224,75.135264,1514,1538,48,"Hindus in Balmatkote, India",1813,1564,1414,8,4,1998
40,Unknown,33.778175,76.576171,1514,1538,447,"Civilians in Kashmir, India",1813,1564,1414,8,4,1998
41,Vizianagaram district,18.106658,83.395551,1514,786,433,"Indian Police officers in Kuppuguda, India",1813,1564,61,8,9,1998
42,Guwahati,26.179222,91.753346,2036,313,77,"Indian soldiers at a railway station in Guwahati, India",2121,80,1414,8,24,1998
43,Saraikhola,26.209015,92.938442,2036,368,43,Bridge on the Tarang River,2121,61,1414,9,25,1998
44,Srinagar,34.083658,74.797368,2036,313,77,Kashmir Border Guards,2121,61,1414,9,25,1998
45,Bangwani,33.778175,76.576171,2036,1538,189,"Relatives of a Pro-Government Militant in South Kashmir, India",2121,80,1414,10,6,1998
46,Chawmanu,23.851472,91.995504,1514,86,73,Leader: Mr. Santi Kuma Tripura,1813,1564,62,10,8,1998
47,Unknown,23.940848,91.988153,1514,86,73,Member: Mr. Lalit Devbarma,243,181,62,10,8,1998
48,Unknown,26.275268,92.953375,1514,1538,447,"Residents of Assam, India",1813,1564,8,10,8,1998
49,Dantewada District,18.9,81.35,2036,786,433,"Indian Policemen in Dantewada, India",2121,265,34,10,8,1998
50,Tamahart,26.303465,89.851099,1514,876,143,"Forestry Guards in Tamahat, India",1813,1564,1414,10,10,1998
51,Sonitpor district,26.678779,92.857672,1514,1538,447,"Residents of Sonitpur, India",1813,1564,106,10,10,1998
52,Gelnel,25.209087,93.817886,1514,368,74,"Civilians traveling on two passenger buses, escorted by Manipur Rifles personnel",1813,180,1414,10,16,1998
53,Athiabari,26.398022,90.269415,1514,1538,447,"Civilians in Kokrajhar District, India",1813,180,8,10,17,1998
