eventid,iyear,imonth,iday,approxdate,extended,resolution,provstate,city,latitude,longitude,specificity,vicinity,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
2.02E+11,2016,1,4,,0,,Chhattisgarh,Aranpur,18.49625,81.294556,1,0,"01/04/2016: Five explosive devices were discovered and defused in Aranpur area, Chhattisgarh state, India. The devices were thought to be targeting Indian Armed Forces soldiers. No group claimed responsibility; however, sources attributed the incident to Maoists.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Indian Armed Forces,Soldiers,92,India,,,,,,,,,,,,,,,,,Maoists,,,,,,,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,"Explosive devices, including two weighing 10 kilograms and three weighing between five and seven kilograms, kept in steel vessels and hidden underground were used in the attack.",0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Five IEDs planted by Naxals seized in Chhattisgarh,"" Chandigarh Tribune, January 4, 2016.",,,START Primary Collection,-9,-9,0,-9,
2.02E+11,2016,1,4,,1,,Meghalaya,Nangapa,25.651417,90.60741,2,0,"01/04/2016: Assailants abducted Kali Biswas, a local trader, from Nangapa, between Dagal and Songsak, Meghalaya state, India. Biswas was killed and his body was discovered on January 12, 2016. The Garo National Liberation Army claimed responsibility for the incident and demanded a ransom in exchange for the victim.",1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,1,Business,7,Retail/Grocery/Bakery,Unknown,Ginger Trader: Kali Biswas,92,India,,,,,,,,,,,,,,,,,Garo National Liberation Army,,,,,,The Garo National Liberation Army claimed responsibility for the incident and demanded a ransom in exchange for the victim.,0,,,0,-99,0,1,10,Unknown,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,1,1,0,,8,,,1,7468.82,0,0,0,,4,Hostage(s) killed (not during rescue attempt),0,,"""India: Meghalaya Rebel Group GNLA Executes Assam Trader Kidnapped From East Garo Hills,"" The Shillong Times Online, January 13, 2016.","""Abducted trader killed in Meghalaya,"" South Asian Terrorism Portal, January 13, 2016.",,START Primary Collection,0,0,0,0,
2.02E+11,2016,1,5,,0,,Andhra Pradesh,Jerrila,17.951783,82.304488,1,0,"01/05/2016: Assailants abducted a Telugu Desam Party (TDP) leader in Jerrila village, Andhra Pradesh state, India. The leader, Sagina Venkatramana, was killed shortly after the abduction. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and stated that Sagina Venkatramana was targeted for falsifying signatures in order to pass a mining resolution.",1,1,1,0,,,0,1,0,1,Assassination,7,Facility/Infrastructure Attack,,,14,Private Citizens & Property,84,Political Party Member/Rally,Telugu Desam Party (TDP),Leader: Sagina Venkataramana,92,India,,,,,,,,,,,,,,,,,Communist Party of India - Maoist (CPI-Maoist),Korukonda Area Committee,,,,,The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and stated that Sagina Venkatramana was targeted for falsifying signatures in order to pass a mining resolution.,0,,,0,-99,0,1,1,Letter,,,,,,,,5,Firearms,5,Unknown Gun Type,8,Incendiary,18,Arson/Fire,,,,,,,,,,1,0,0,,0,0,1,3,Minor (likely < $1 million),-99,A house was damaged in this attack.,1,1,0,-99,,,,0,,,,,,4,Hostage(s) killed (not during rescue attempt),0,,"""Former sarpanch anti-people: Maoists,"" The Hindu, January 15, 2016.","""Maoists kill abducted TDP leader in AP,"" Deccan Herald, January 6, 2016.","""Militants hurl grenade at CRPF camp in Jammu and Kashmir,"" South Asian Terrorism Portal, January 7, 2016.",START Primary Collection,0,0,0,0,
2.02E+11,2016,1,5,,0,,Andhra Pradesh,Manchangiputta,18.13407,82.618672,1,0,"01/05/2016: Assailants abducted and killed Pangi Sivayya, a suspected police informant, in Manchangiputta, Andhra Pradesh state, India. No group claimed responsibility for the incident; however, sources attributed the attack to the Communist Party of India - Maoist (CPI-Maoist).",1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,14,Private Citizens & Property,113,Alleged Informant,Not Applicable,Suspected Informant: Pangi Sivayya,92,India,,,,,,,,,,,,,,,,,Communist Party of India - Maoist (CPI-Maoist),,,,,,"The specific motive is unknown; however, sources posited that the Communist Party of India - Maoist (CPI-Maoist) targeted Pangi Sivayya because the group believed he was a police informant.",0,,,0,-99,0,0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,1,1,0,-99,,,,0,,,,,,4,Hostage(s) killed (not during rescue attempt),0,,"""Maoists kill abducted TDP leader in AP,"" Deccan Herald, January 6, 2016.","""Militants hurl grenade at CRPF camp in Jammu and Kashmir,"" South Asian Terrorism Portal, January 7, 2016.",,START Primary Collection,0,0,0,0,
2.02E+11,2016,1,5,,0,,Tamil Nadu,Madurai,9.925267,78.119732,1,0,"01/05/2016: Assailants threw a petrol bomb at a public restroom near the Sri Meenakshi Temple in Madurai city, Tamil Nadu state, India. This was one of three related petrol bomb attacks that occurred near the aforementioned temple in Madurai on this date. There were no reported casualties. No group claimed responsibility for the incidents.",1,1,1,0,,,1,0,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",Not Applicable,Public Restroom,92,India,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,A petrol bomb was used in the attack.,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Three bombs hurled near Meenakshi Temple,"" Hindustan Times, January 7, 2016.","""Bombs hurled near Meenakshi temple,"" Times of India, January 6, 2016.",,START Primary Collection,-9,-9,0,-9,"201601050044, 201601050045, 201601050046"
2.02E+11,2016,1,5,,0,,Tamil Nadu,Madurai,9.925201,78.119775,1,0,"01/05/2016: Assailants threw a petrol bomb near the Sri Meenakshi Temple in Madurai city, Tamil Nadu state, India. This was one of three related petrol bomb attacks that occurred near the aforementioned temple in Madurai on this date. There were no reported casualties. No group claimed responsibility for the incidents.",1,1,1,0,,,1,0,0,7,Facility/Infrastructure Attack,,,,,20,Unknown,,,Unknown,Unknown,92,India,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,A petrol bomb was used in the attack.,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Three bombs hurled near Meenakshi Temple,"" Hindustan Times, January 7, 2016.","""Bombs hurled near Meenakshi temple,"" Times of India, January 6, 2016.",,START Primary Collection,-9,-9,0,-9,"201601050044, 201601050045, 201601050046"
2.02E+11,2016,1,5,,0,,Tamil Nadu,Madurai,9.924872,78.112438,1,0,"01/05/2016: Assailants threw a petrol bomb near the Sri Meenakshi Temple in Madurai city, Tamil Nadu state, India. This was one of three related petrol bomb attacks that occurred near the aforementioned temple in Madurai on this date. There were no reported casualties. No group claimed responsibility for the incidents.",1,1,1,0,,,1,0,0,7,Facility/Infrastructure Attack,,,,,20,Unknown,,,Unknown,Unknown,92,India,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,A petrol bomb was used in the attack.,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Three bombs hurled near Meenakshi Temple,"" Hindustan Times, January 7, 2016.","""Bombs hurled near Meenakshi temple,"" Times of India, January 6, 2016.",,START Primary Collection,-9,-9,0,-9,"201601050044, 201601050045, 201601050046"
2.02E+11,2016,1,5,,0,,Jharkhand,Sondari,23.064821,85.273322,2,0,"01/05/2016: Assailants abducted two people from Sondari village, Jharkhand state, India. The two hostages were shot and killed shortly after the kidnapping. No group claimed responsibility for the incident; however, sources attributed the attack to the People's Liberation Front of India.",1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,92,India,,,,,,,,,,,,,,,,,People's Liberation Front of India,,,,,,"The specific motive is unknown; however, sources suspected that the victims were targeted for severing ties with the People's Liberation Front of India.",0,,,0,-99,0,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,2,0,0,0,0,0,0,,,,,1,2,0,-99,,,,0,,,,,,4,Hostage(s) killed (not during rescue attempt),0,,"""One person injured in abduction bid in Meghalaya,"" South Asian Terrorism Portal, January 6, 2016.",,,START Primary Collection,0,0,0,0,
2.02E+11,2016,1,5,,0,,Chhattisgarh,Tarrem,18.487408,80.974881,1,1,"01/05/2016: A pipe bomb detonated targeting a Commando Battalion for Resolute Action (COBRA) patrol near Tarrem village, Chhattisgarh state, India. There were no reported casualties. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,29,Military Unit/Patrol/Convoy,Commando Battalion for Resolute Action (COBRA),Patrol,92,India,,,,,,,,,,,,,,,,,Maoists,,,,,,,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""One person injured in abduction bid in Meghalaya,"" South Asian Terrorism Portal, January 6, 2016.",,,START Primary Collection,-9,-9,0,-9,
2.02E+11,2016,1,6,,0,,Chhattisgarh,Mirtur,18.881486,81.152792,1,0,"01/06/2016: Assailants dragged a civilian, Sukhram Kadti, out of his house and killed him in Mirtur area, Chhattisgarh state, India. No group claimed responsibility; however, sources attributed the incident to Maoists.",1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,14,Private Citizens & Property,113,Alleged Informant,Not Applicable,Suspected Informant: Sukhram Kadti,92,India,,,,,,,,,,,,,,,,,Maoists,,,,,,"The specific motive is unknown; however, sources posited that Maoists targeted Sukhram Kadti because they believed he was a police informant.",0,,,0,15,0,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,1,1,0,1,,,,0,,,,,,4,Hostage(s) killed (not during rescue attempt),0,,"""Naxals kill villager, 11 rebels held in Chhattisgarh,"" United News of India, January 6, 2016.",,,START Primary Collection,-9,-9,0,-9,
